Price,Close,High,Low,Open,Volume
Ticker,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS
Date,,,,,
2021-06-24,2902.15234375,2908.3032485098884,2837.4957855924686,2848.8441920692935,985596
2021-06-25,2864.626708984375,2911.9271414666514,2846.603084092993,2889.707379036615,786964
2021-06-28,2844.648193359375,2897.9565804621593,2838.2588793217114,2883.794994059254,891695
2021-06-29,2862.33837890625,2883.6522360755944,2835.2074819822897,2850.417929218984,1242734
2021-06-30,2853.9462890625,2889.516956911508,2847.223108984638,2859.9542421708293,924522
2021-07-01,2881.506591796875,2886.560676271559,2858.047053385318,2868.537049243589,848235
2021-07-02,2865.67578125,2897.908720129143,2860.669192946651,2892.329857176909,805542
2021-07-05,2875.021728515625,2908.5896676236157,2867.678778214077,2879.9805889256786,863343
2021-07-06,2863.2919921875,2889.0401633079205,2857.0933583992505,2863.7688101712115,762630
2021-07-07,2899.148681640625,2926.7086668674333,2871.6361919532615,2922.8941231504346,1234865
2021-07-08,2887.895263671875,2917.1718353968345,2878.835723810394,2908.5891134228,907391
2021-07-09,2871.016357421875,2898.2424763351187,2867.583175024965,2881.8877136433134,547082
2021-07-12,2860.33544921875,2901.7711156767996,2852.3727290800102,2894.1895239514724,765566
2021-07-13,2855.042724609375,2881.0293009935804,2846.936820049164,2879.980208451407,703484
2021-07-14,2862.767822265625,2868.298958168222,2845.8407816181357,2863.7691867273447,470744
2021-07-15,2845.268310546875,2871.397842420799,2833.3478611844507,2870.444206471805,635535
2021-07-16,2850.703857421875,2866.6295304713517,2827.5304583657876,2855.1858996111864,1062548
2021-07-19,2843.695068359375,2860.622108816088,2827.5309833325787,2850.704386691101,837836
2021-07-20,3012.58349609375,3032.085303423193,2841.4058543373535,2857.093118117907,6755922
2021-07-22,2962.708740234375,3018.258039057471,2946.7353367101373,2984.8807779620483,1982572
2021-07-23,2940.77490234375,2984.4992043972593,2935.3392239162395,2961.993302530908,815329
2021-07-26,2919.27001953125,2974.390218264689,2909.73366102447,2937.1506917314628,1136884
2021-07-27,2888.229248046875,2938.628998012954,2881.2201639410296,2936.6262695134196,904289
2021-07-28,2864.817138671875,2892.377117650243,2845.648967711284,2889.8500761391742,996594
2021-07-29,2858.4755859375,2899.005107491262,2851.6571830869516,2864.8174037086565,762683
2021-07-30,2821.284423828125,2869.156905247675,2815.0380613615966,2868.537134966043,1067423
2021-08-02,2836.16064453125,2848.319501182644,2823.381784906842,2847.1751847679384,832285
2021-08-03,2886.656005859375,2922.894171773698,2855.376700295388,2879.9805542435784,2433031
2021-08-04,2878.645263671875,2911.736381030587,2872.3511739470755,2899.625252326203,659295
2021-08-05,2849.84521484375,2899.052916689746,2841.88249537388,2893.331101722595,693694
2021-08-06,2828.913330078125,2861.8614988635522,2824.1451503066096,2856.1396831377338,744159
2021-08-09,2853.80322265625,2875.2123025237233,2835.2073221921664,2855.805718398082,825462
2021-08-10,2839.11669921875,2868.822593771549,2823.2864847966634,2859.0000985697866,724335
2021-08-11,2834.778076171875,2862.2903312886483,2815.6576304419036,2848.8917007703635,987941
2021-08-12,2837.543212890625,2846.8411615801506,2820.85458703763,2836.1127592460825,438552
2021-08-13,2850.13134765625,2862.814750710991,2835.254768457895,2842.692941646449,572250
2021-08-16,2833.633544921875,2845.7924023241576,2822.7621890789255,2841.8349065727025,461742
2021-08-17,2875.498291015625,2902.867593974059,2835.254903786938,2836.1130829431186,2036757
2021-08-18,2862.3857421875,2906.6820810113654,2853.8030195073484,2906.6820810113654,1375320
2021-08-20,2968.620849609375,2979.20630130372,2862.3381743571676,2862.3381743571676,3931334
2021-08-23,2934.7666015625,3017.1608787386067,2909.542979880978,3012.583380091947,1578949
2021-08-24,2904.72705078125,2949.404983175213,2893.8556952944614,2949.404983175213,763704
2021-08-25,2897.193603515625,2927.662224071596,2872.9236163330957,2885.7022443129154,797870
2021-08-26,2898.719482421875,2941.490148795148,2885.8931251925524,2921.9406114146,1319516
2021-08-27,2896.001708984375,2916.1710162642494,2880.4573963843422,2899.482387084734,634375
2021-08-30,2964.61572265625,2969.8607203159554,2906.730067776119,2914.9789255124188,1051747
2021-08-31,3052.92236328125,3061.1712206382654,2959.1799083092897,2964.615586342432,2283290
2021-09-01,3149.62060546875,3178.4680881166737,3065.939064895021,3080.2913300989794,2423168
